job_#,doc_#,borough,initial_cost,total_est_fee,existing_zoning_sqft,proposed_zoning_sqft,enlargement_sq_footage,street_frontage,existingno._of_stories,proposed_no._of_stories,existing_height,proposed_height
320740686,01,BROOKLYN,105600,690.15,3760,3760,0,0,4,4,37,37
121577855,01,MANHATTAN,20000,419.5,0,0,0,0,20,20,200,200
220286223,01,BRONX,113944,1387.7,0,0,0,0,5,5,54,54
340054835,01,BROOKLYN,43000,816.4,0,0,0,0,3,3,35,35
320744129,01,BROOKLYN,16000,186.65,0,0,0,0,3,3,28,28
121600696,01,MANHATTAN,28000,501.9,0,0,0,0,5,5,55,55
320745627,01,BROOKLYN,0,160,0,0,0,0,5,5,53,53
140073300,01,MANHATTAN,6600,285.6,0,0,0,0,38,38,395,395
320743987,01,BROOKLYN,54000,769.7,0,0,0,0,3,3,30,30
140073499,01,MANHATTAN,184033,2119,0,0,0,0,30,30,190,190
320517534,01,BROOKLYN,375000,4131,2584,2584,0,0,4,4,35,35
520129334,01,STATEN ISLAND,0,647.8,0,2485,0,0,0,3,0,25
340054773,01,BROOKLYN,60000,573.25,0,0,0,0,2,2,24,24
220286385,01,BRONX,32375,553.4,0,0,0,0,1,1,15,15
220286376,01,BRONX,152250,1789.4,0,0,0,0,1,1,15,15
440075400,01,QUEENS,25000,233,0,0,0,0,2,2,30,30
340054826,01,BROOKLYN,42570,656.4,0,0,0,0,17,17,204,204
520133310,01,STATEN ISLAND,19764,207.25,0,0,0,0,2,2,24,24
121567250,01,MANHATTAN,20000,419.5,0,0,0,0,5,5,81,81
121600678,01,MANHATTAN,200000,2273.5,0,0,0,0,6,6,90,90
121585873,01,MANHATTAN,25000,471,0,0,0,0,9,9,90,90
121603737,01,MANHATTAN,252000,2809.1,0,0,0,0,28,28,342,342
340054817,01,BROOKLYN,51900,372.05,0,0,0,0,2,2,22,22
320744227,01,BROOKLYN,1500,225,0,0,0,0,6,6,60,60
121600099,01,MANHATTAN,229105,2582.5,0,0,0,0,16,16,160,160
140073444,01,MANHATTAN,26595,491.6,0,0,0,0,21,21,190,190
140073471,01,MANHATTAN,136523,1784.6,0,0,0,0,13,13,208,208
520129316,01,STATEN ISLAND,0,587.68,0,2165,0,0,0,3,0,25
220286198,01,BRONX,95000,1192,0,0,0,0,1,1,21,21
140073505,01,MANHATTAN,261700,2912.1,0,0,0,0,26,26,336,336
121598280,01,MANHATTAN,1066000,11193.3,0,0,0,0,6,6,97,97
520129361,01,STATEN ISLAND,0,599.2,0,2253,0,0,0,3,0,25
302568086,01,BROOKLYN,38000,604.9,0,0,0,0,5,5,85,85
520129414,02,STATEN ISLAND,0,160,0,0,0,0,0,0,0,0
520128139,02,STATEN ISLAND,0,160,0,0,0,0,0,0,0,0
340054808,01,BROOKLYN,78470,1027.2,0,0,0,0,3,3,36,36
440075507,01,QUEENS,0,340,0,0,0,0,16,16,160,160
