custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C2445,f,0.18,0.09,0.05,0.05,0.27,0,0.15,0.05,0.12,0.03,0.02,0.91,107787,33,0,0.62,0.38,0.01,0.23,0.11,0.26,0.3,0,0.08,33,0.895677894,18,5988.166667,0.680867922,milk
C2447,f,0.11,0.6,0,0,0,0,0,0,0.29,0,0,0.27,15710,5,0,0.54,0.46,0.44,0.09,0,0.46,0,0,0,5,2.112063838,3,5236.666667,0.630276981,fermentedmilk
C2448,f,0,0,0.26,0.09,0,0,0.05,0.11,0.47,0.03,0,0.55,104296,10,0.03,0.33,0.64,0.08,0,0.09,0.5,0.33,0,0,10,1.613133869,6,17382.66667,1.040310227,ramen
C2449,f,0.23,0.18,0.14,0.05,0.06,0,0.22,0.02,0,0.06,0.04,0.82,154734,32,0,0.91,0.09,0,0.31,0.29,0.09,0.08,0.06,0.17,32,0.947827705,13,11902.61538,0.569142348,milk
C2450,m,0,0,0,0,0,0,0,0,0,0,1,0.09,2000,1,0,1,0,0,0,0,0,0,1,0,1,3.31662479,1,2000,0,beans
C2451,f,0,0,0,0,0.11,0,0,0,0,0.79,0.1,0.27,59350,6,0.37,0.57,0.06,0.1,0,0.42,0,0.48,0,0,6,2.587448781,6,9891.666667,1.06286251,maincereals
C2453,f,0.1,0.08,0.11,0,0.11,0,0,0.1,0,0.47,0.02,0.64,110090,16,0.39,0.57,0.04,0.13,0.39,0.12,0.15,0,0.16,0.04,16,1.48969945,11,10008.18182,1.208260101,milk
C2454,f,0,0.24,0.11,0.28,0.06,0,0.16,0.16,0,0.01,0,0.64,154977,26,0.45,0.55,0,0.52,0.11,0.12,0.1,0,0,0.14,26,1.130758879,11,14088.81818,0.869526188,softdrinks
C2455,m,0,0,0,0,0,0,0,0,0,1,0,0.09,1200,1,0,0,1,0,1,0,0,0,0,0,1,3.31662479,1,1200,0,snacks
C2456,f,0,0,0.4,0,0,0,0.22,0,0.24,0.1,0.04,0.45,41320,9,0.34,0.13,0.53,0,0.51,0,0.02,0.34,0,0.13,9,1.501379561,5,8264,0.689969131,otherreadymadefoods
C2457,f,0,0,0,0,0,0,0.92,0,0,0,0.08,0.18,13135,2,1,0,0,0,0,1,0,0,0,0,2,3.051801741,1,13135,0,eidbleherbs
