"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"413","C0487",0,0,0.29,0,0,0,0.71,0,0,0,0,0.18,9830,2,0,1,0,0,1,0,0,0,0,0,2,2.45314979303152,1,9830,0,"frozendumpling"
"414","C0489",0.58,0.27,0,0,0,0,0,0,0,0,0.15,0.27,12070,5,0,0,1,0,0,0,0,0,0,1,4,2.02704129019242,3,4023.33333333333,0.645892461549109,"harddrinks"
"415","C0490",0.12,0.08,0.09,0,0,0,0.71,0,0,0,0,0.36,22530,5,0.83,0.17,0,0,0,0,0.83,0,0.17,0,5,2.3075363252468,4,5632.5,1.22413270897514,"bottledfoods"
"416","C0491",0,0,0.63,0,0,0,0,0,0,0.37,0,0.18,9490,2,0,1,0,1,0,0,0,0,0,0,2,2.3165721154983,1,9490,0,"ready-madesidedishes"
"417","C0492",0,1,0,0,0,0,0,0,0,0,0,0.09,2740,1,1,0,0,0,0,0,1,0,0,0,1,3.3166247903554,1,2740,0,"softdrinks"
"418","C0493",0,0.16,0,0,0.84,0,0,0,0,0,0,0.18,14150,2,0,0.84,0.16,0,0,0.16,0,0,0.84,0,2,2.78636416220414,2,7075,0.96446366621204,"softdrinks"
"419","C0495",0.33,0.05,0.02,0.03,0,0,0.39,0,0,0.03,0.15,0.64,201460,37,0.42,0.56,0.02,0.2,0.14,0.19,0.05,0.3,0,0.12,16,1.54807261352778,14,14390,1.06432751199765,"lattuce"
"420","C0496",0,0,0,0,0,0,0,0,0,1,0,0.09,4290,2,0,0,1,0.77,0,0,0,0,0,0.23,1,3.3166247903554,2,2145,0.76149961050859,"cooky/cakes"
"421","C0497",1,0,0,0,0,0,0,0,0,0,0,0.09,9200,6,0,1,0,0.16,0.33,0,0.17,0,0,0.33,1,3.3166247903554,6,1533.33333333333,0.0106499554034051,"milk"
"422","C0499",0.07,0.41,0.11,0.18,0,0,0.03,0.02,0.07,0.05,0.07,0.82,141780,28,0.13,0.54,0.32,0.13,0.05,0.01,0.21,0.43,0.03,0.15,19,1.29773765682537,19,7462.1052631579,0.856958374551854,"harddrinks"
"423","C0500",0.24,0.04,0.53,0,0.11,0,0,0.08,0,0,0,0.45,15670,10,0,0.95,0.05,0,0.62,0.27,0.11,0,0,0,8,1.79966308603511,5,3134,0.613692484728888,"instantfoods"
"424","C0501",0.09,0,0.08,0.04,0.14,0,0,0.36,0.16,0,0.14,0.64,36940,8,0,0.79,0.21,0.79,0,0.08,0.14,0,0,0,7,1.20380033837445,3,12313.3333333333,1.18159353679529,"chilledseafood"
"425","C0502",0.11,0,0,0.14,0,0,0.25,0,0.14,0.21,0.15,0.55,42726,10,0.68,0,0.32,0,0,0,0.32,0,0.68,0,9,1.04167278971752,2,21363,0.522113109883284,"cooky/cakes"
"426","C0503",0,0,0.17,0,0,0,0.83,0,0,0,0,0.18,21967,2,0,1,0,0,0,0,0,0,0,1,2,2.75341653221389,1,21967,0,"instantfoods"
"427","C0504",0,0,0,0,0,0,0,0,0,1,0,0.09,3550,2,0,1,0,0,0,0,0.56,0,0,0.44,1,3.3166247903554,2,1775,0.179266507906449,"bread"
"428","C0505",0,0,0,0,0.67,0,0.11,0,0,0,0.22,0.27,29592,4,0,1,0,0.8,0,0.2,0,0,0,0,3,2.24697279861487,2,14796,0.841684551923322,"rootvegetables"
"429","C0506",0,0.37,0,0,0,0,0,0,0,0.63,0,0.18,15800,2,1,0,0,0,0,0,0,1,0,0,2,2.31894450239575,1,15800,0,"minorcereals"
"430","C0507",0.1,0,0,0,0.4,0,0,0.07,0,0.42,0,0.36,46430,8,0,0.43,0.57,0.27,0.04,0.07,0.23,0.21,0.17,0,5,1.79079516032461,8,5803.75,0.630140953562174,"ready-madesnacks"
"431","C0508",0,0,0,0,0,0,0,1,0,0,0,0.09,1100,1,0,0,1,0,0,0,0,0,0,1,1,3.3166247903554,1,1100,0,"ketchupandmayoneise"
"432","C0509",0,0,0.2,0,0,0,0.45,0,0,0.35,0,0.27,20718,4,0,0.65,0.35,0.35,0,0,0,0,0,0.65,3,1.82365974519653,2,10359,0.410789517248831,"cooky/cakes"
"433","C0511",0,0.22,0,0.24,0,0,0.28,0,0,0,0.27,0.36,16680,6,0,1,0,0.72,0,0.22,0,0,0,0.06,5,1.39723601191473,5,3336,0.58809404968509,"fruitvegetables"
"434","C0512",0,0,0,0.27,0,0,0,0,0,0,0.73,0.18,2540,2,1,0,0,0,1,0,0,0,0,0,2,2.49235609889074,1,2540,0,"fruitvegetables"
"435","C0513",0,0,0,0,0,0,0,0,0,0.77,0.23,0.18,5190,2,0,1,0,0,0,0,0,1,0,0,2,2.59297292696683,1,5190,0,"candy-gum"
"436","C0514",0.09,0,0,0,0.91,0,0,0,0,0,0,0.18,18750,2,0,1,0,1,0,0,0,0,0,0,2,2.99025946759734,2,9375,1.14871853626359,"kitchen/housedetergents"
"437","C0515",0.06,0.09,0.2,0.05,0.09,0,0.11,0.08,0.31,0,0.02,0.82,65212,12,0.67,0.33,0,0,0.09,0,0.19,0,0,0.72,12,1.00899526739236,4,16303,1.14209270084068,"bottledfoods"
"438","C0516",0,0,0,0.59,0,0,0,0,0,0,0.41,0.18,4380,2,0,1,0,0,0,0,0,0,1,0,2,2.26756813911473,1,4380,0,"beans"
"439","C0517",1,0,0,0,0,0,0,0,0,0,0,0.09,390,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,390,0,"icecream"
"440","C0518",0.09,0.13,0.12,0.36,0.17,0,0,0.04,0,0,0.09,0.64,153360,29,0.23,0.14,0.63,0.05,0.35,0,0.24,0,0.3,0.06,25,1.17873203877338,18,8520,0.554896042745392,"eidbleherbs"
"441","C0519",0.08,0.1,0.11,0.04,0.14,0,0,0,0.44,0,0.09,0.64,68360,11,0.05,0.64,0.3,0.18,0.02,0,0.48,0.19,0.07,0.05,9,1.38292040831074,9,7595.55555555556,1.14499216520069,"beans"
"442","C0520",0.1,0.07,0.05,0.03,0.15,0,0.21,0.01,0.04,0.14,0.19,0.91,145193,33,0.34,0.63,0.03,0.13,0.12,0.06,0.11,0.12,0.31,0.14,21,0.80873878094963,18,8066.27777777778,1.03913147498621,"icecream"
"443","C0521",0.22,0,0,0,0,0,0,0.5,0,0.28,0,0.27,5940,4,0,0,1,0,0,0,0,1,0,0,3,1.86522945848082,2,2970,1.03328061627933,"icecream"
"444","C0522",0,0,0,1,0,0,0,0,0,0,0,0.09,2990,1,0,0,1,0,1,0,0,0,0,0,1,3.3166247903554,1,2990,0,"fruitvegetables"
"445","C0523",0,0,0.15,0.03,0,0,0.43,0,0.24,0,0.14,0.45,20740,5,0,0,1,1,0,0,0,0,0,0,5,1.5533906334845,1,20740,0,"fruitvegetables"
"446","C0524",0.58,0,0,0,0,0,0.18,0.07,0,0.1,0.07,0.45,28684,8,0,0,1,0,0,0,0.15,0,0,0.85,6,1.89431859969347,3,9561.33333333333,0.651009589348604,"eggs"
"447","C0525",0,0.06,0,0.56,0,0,0.25,0,0.08,0.04,0,0.45,35660,6,0,0.04,0.96,0,0.08,0.56,0,0.32,0,0.04,6,1.90461323014318,4,8915,0.959222182983607,"chilledseafood"
"448","C0526",1,0,0,0,0,0,0,0,0,0,0,0.09,4790,2,0,1,0,0,0,0.21,0.79,0,0,0,2,3.3166247903554,2,2395,0.82372773257222,"chilleddairymilks"
"449","C0527",0.13,0,0.08,0.5,0,0,0,0.11,0,0,0.17,0.45,35710,7,0.25,0.3,0.44,0,0,0.3,0.17,0.28,0,0.25,6,1.6614203040874,6,5951.66666666667,0.456564197902487,"apple/sweetmelon"
"450","C0528",0.13,0.15,0.15,0.15,0.07,0.03,0.06,0,0,0.1,0.15,0.91,394159,119,0.12,0.77,0.11,0.16,0.14,0.18,0.09,0.2,0.1,0.12,42,0.662798839628377,71,5551.53521126761,0.773094486601279,"softdrinks"
"451","C0529",0.33,0,0.02,0.43,0,0,0,0.06,0.14,0.01,0,0.55,92244,19,1,0,0,0,0.27,0.18,0.18,0.11,0,0.26,14,1.66387761779665,8,11530.5,0.525984830009006,"fruitvegetables"
"452","C0531",0,0,0,0,0.17,0,0,0,0,0,0.83,0.18,23460,5,0,1,0,0.36,0.47,0,0.17,0,0,0,2,2.75393439815076,4,5865,0.329259170964947,"rootvegetables"
"453","C0532",0,0,0,1,0,0,0,0,0,0,0,0.09,7990,1,0,1,0,0,0,0,0,0,0,1,1,3.3166247903554,1,7990,0,"strawberry/peach/"
"454","C0533",0,0.05,0,0.32,0,0,0,0,0,0.21,0.42,0.36,9410,4,0,1,0,0,0,0,0,0,0,1,4,1.69380660460915,1,9410,0,"rootvegetables"
"455","C0534",0.25,0.09,0.11,0.1,0,0,0.17,0,0.04,0.2,0.04,0.73,187449,68,0.01,0.25,0.74,0.19,0.17,0.12,0.23,0.24,0.02,0.04,26,0.93791562663803,39,4806.38461538462,0.964666897229821,"icecream"
"456","C0535",0.18,0,0,0.14,0.31,0,0,0.1,0,0.06,0.22,0.55,27720,9,0,0.61,0.39,0,0,0.12,0.12,0.76,0,0,8,1.17871438393336,7,3960,0.709453656483796,"beans"
"457","C0536",0.19,0,0,0.06,0,0,0.15,0,0.12,0.24,0.24,0.55,66991,23,0,1,0,0.15,0.22,0,0.02,0.22,0,0.39,13,1.1011418578142,17,3940.64705882353,0.923368373735553,"beans"
"458","C0537",0,0,0.32,0,0.68,0,0,0,0,0,0,0.18,16530,4,0.21,0.11,0.68,0.32,0,0,0,0.68,0,0,3,2.40009148956171,3,5510,0.919147717672239,"ramen"
"459","C0538",0.11,0.11,0,0.07,0.14,0,0.18,0,0.22,0.08,0.09,0.73,121813,24,0.02,0.53,0.45,0,0,0,0.03,0.86,0.01,0.09,17,0.798621739842002,12,10151.0833333333,0.699561455680042,"beans"
"460","C0539",0.35,0.09,0.32,0,0.07,0,0,0,0,0.17,0,0.45,13350,7,0,0.17,0.83,0,0.08,0.09,0.44,0.09,0,0.31,6,1.45478798640863,6,2225,0.758609882228654,"snacks"
"461","C0540",0,0.14,0.1,0.09,0.2,0,0.32,0.05,0.04,0,0.05,0.73,94784,14,0,0.68,0.32,0,0,0.22,0.27,0.21,0.22,0.08,13,1.09103226530781,11,8616.72727272727,0.614016433807949,"koreanpork"
"462","C0541",1,0,0,0,0,0,0,0,0,0,0,0.09,990,1,0,0,1,0,0,0,0,0,1,0,1,3.3166247903554,1,990,0,"fermentedmilk"
"463","C0542",0.02,0.24,0.06,0,0.3,0,0.17,0.11,0,0,0.09,0.64,114430,23,0.07,0.75,0.18,0.03,0.16,0.03,0,0.12,0.28,0.38,13,1.17134100571175,15,7628.66666666667,1.16729597048972,"harddrinks"
"464","C0543",0,0,0,0,0,0,0,0,0,0,1,0.09,1280,1,0,0,1,0,0,0,0,0,0,1,1,3.3166247903554,1,1280,0,"beans"
"465","C0544",0.22,0.04,0,0.35,0.07,0,0.09,0.05,0.15,0.03,0.01,0.82,135385,25,0.1,0.54,0.36,0.18,0.1,0.28,0.13,0.23,0.05,0.03,14,1.19503094867892,19,7125.52631578947,0.890875384972576,"banana/importedfruits"
"466","C0545",0,0,0.6,0,0.4,0,0,0,0,0,0,0.18,12020,3,0.77,0,0.23,0,0,0.23,0,0,0.77,0,3,2.28019783990027,2,6010,0.767110850804707,"bottledfoods"
"467","C0546",0.09,0,0.08,0,0.15,0,0.1,0,0.47,0,0.1,0.55,34941,11,0,0.1,0.9,0.38,0,0,0,0,0,0.62,8,1.52198752859945,3,11647,0.647207697929772,"beans"
"468","C0547",0,0.39,0,0,0,0,0.61,0,0,0,0,0.18,18427,4,0.34,0.66,0,0,0.34,0.27,0,0,0.39,0,4,2.29333395275999,3,6142.33333333333,0.175741216312531,"harddrinks"
"469","C0548",0.11,0.14,0.16,0.03,0.13,0,0.14,0.04,0.04,0.21,0,0.82,89082,25,0,0.75,0.25,0.2,0,0,0,0.23,0.57,0,13,0.773509596837066,7,12726,0.317296944615101,"cooky/cakes"
"470","C0549",0.2,0,0.07,0.05,0.19,0,0.03,0.04,0.15,0.03,0.23,0.82,120757,33,0.01,0.74,0.25,0.06,0,0.45,0.18,0,0,0.3,20,0.956183943321653,14,8625.5,0.687808864752367,"beans"
"471","C0552",0.19,0.01,0.29,0,0,0,0.08,0.01,0.22,0.04,0.15,0.73,78451,21,0,0.94,0.06,0,0,0,0,0,1,0,16,1.14668910408036,7,11207.2857142857,0.730787909109102,"ramen"
"472","C0553",0.2,0.03,0.06,0.31,0.02,0.03,0,0.03,0.02,0.16,0.14,0.91,127712,44,0.39,0.48,0.13,0.25,0.12,0.06,0.18,0.11,0.03,0.25,19,1.08342892394801,28,4561.14285714286,1.12972449148487,"fruitvegetables"
"473","C0554",0,0,0,0,0,0,0.15,0,0.72,0.05,0.08,0.36,20674,4,0.08,0.92,0,0.72,0,0,0.15,0.05,0.08,0,4,2.35772008930658,4,5168.5,1.26558063104358,"eidbleherbs"
"474","C0555",0.12,0,0,0.13,0,0,0.57,0,0,0,0.18,0.36,22608,4,0.75,0,0.25,0,0,0,0.13,0.87,0,0,4,1.90441823093195,3,7536,1.0794975593589,"banana/importedfruits"
"475","C0556",0,0,0,0,0,0,0,0,0,1,0,0.09,4200,1,0,1,0,0,0,1,0,0,0,0,1,3.3166247903554,1,4200,0,"snacks"
"476","C0557",0.6,0.26,0,0,0.15,0,0,0,0,0,0,0.27,27430,8,0,0.61,0.39,0.18,0.07,0.29,0,0,0.18,0.27,6,2.06843258650882,6,4571.66666666667,0.426472787876853,"milk"
"477","C0558",0.17,0.01,0.05,0.15,0,0,0.14,0.11,0.02,0.34,0.02,0.82,194061,37,0.62,0.32,0.07,0.45,0.11,0.02,0.08,0.09,0.04,0.21,22,1.14756838844535,20,9703.05,1.29592414316353,"ketchupandmayoneise"
"478","C0559",0,0,0,0,0,0,0,0,0,0,1,0.09,2851,1,0,0,1,0,0,0,0,1,0,0,1,3.3166247903554,1,2851,0,"eidbleherbs"
"479","C0560",0.08,0,0.13,0,0.05,0,0.38,0.08,0.16,0.01,0.11,0.73,95745,16,0.22,0.78,0,0.25,0.18,0.39,0.06,0,0,0.12,14,1.2103554214648,7,13677.8571428571,0.924838598333218,"eggs"
"480","C0563",0.04,0.12,0.11,0.38,0,0,0.24,0,0,0.09,0.02,0.64,118523,24,0.09,0.91,0,0,0,0.01,0.87,0.01,0.11,0,16,1.32932711674162,12,9876.91666666667,0.893494024866775,"fermentedmilk"
"481","C0566",0,1,0,0,0,0,0,0,0,0,0,0.09,2800,1,0,0,1,1,0,0,0,0,0,0,1,3.3166247903554,1,2800,0,"harddrinks"
"482","C0567",0,0,0,0,0.83,0,0.05,0,0,0,0.12,0.27,21650,3,0,1,0,0.83,0,0.12,0,0.05,0,0,3,2.71732517736818,3,7216.66666666667,1.28652753655541,"babyproducts"
"483","C0568",0.32,0.04,0,0.26,0,0,0.19,0,0.13,0,0.06,0.55,73470,15,0.48,0.52,0,0,0.26,0,0.11,0,0.21,0.41,11,1.28759645607006,10,7347,0.633349508388862,"milk"
"484","C0569",0,0,0,0,0,0,0,0,0,0,1,0.09,2911,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,2911,0,"eidbleherbs"
"485","C0570",0.13,0.1,0.13,0.29,0.15,0,0,0.03,0.03,0.11,0.03,0.82,114711,43,0.1,0.9,0,0.19,0.03,0.29,0.1,0.02,0.15,0.21,28,0.925631565530641,22,5214.13636363636,0.837463031255266,"ramen"
"486","C0571",0.19,0.05,0,0,0,0,0.46,0,0.03,0.14,0.13,0.55,72244,21,0.07,0.85,0.08,0.09,0.26,0.08,0.18,0.38,0,0,14,1.53752058232449,10,7224.4,0.575657276972021,"beans"
"487","C0572",0.1,0.4,0,0.16,0.05,0,0,0,0,0.18,0.11,0.55,43390,7,0,0.22,0.78,0.11,0.52,0,0.27,0,0.1,0,6,1.35078743042182,4,10847.5,0.774968903697401,"cooky/cakes"
"488","C0573",0.06,0.26,0.08,0.02,0.09,0,0.14,0.03,0.12,0.11,0.09,0.91,445540,140,0.15,0.58,0.27,0.2,0.11,0.18,0.07,0.16,0.11,0.16,48,0.777912109693218,56,7956.07142857143,0.841418368320946,"harddrinks"
"489","C0574",0,0,0,0,1,0,0,0,0,0,0,0.09,9900,1,0,1,0,0,0,0,0,0,0,1,1,3.3166247903554,1,9900,0,"sanitaryproducts"
"490","C0575",0.22,0.08,0.11,0.1,0.11,0,0.16,0.1,0.01,0.07,0.03,0.91,418910,76,0.16,0.78,0.06,0.02,0.08,0.08,0,0.03,0.22,0.57,29,0.701106007502386,18,23272.7777777778,0.83599678590702,"ramen"
"491","C0577",0.25,0.08,0,0.21,0.09,0,0.17,0.03,0,0.13,0.04,0.73,74379,16,0,1,0,0.19,0.13,0.09,0,0.54,0.05,0,13,0.95643300767456,7,10625.5714285714,1.1008504882492,"milk"
"492","C0578",0.05,0.14,0.09,0.36,0,0,0.04,0.08,0.02,0.03,0.21,0.82,205691,45,0.25,0.73,0.02,0.1,0.16,0.11,0.44,0.14,0.02,0.03,26,1.1893442359342,27,7618.18518518519,0.973356773303079,"banana/importedfruits"
"493","C0579",0.18,0.45,0,0.16,0,0,0,0,0,0.21,0,0.36,52320,9,0,0.5,0.5,0,0,0,0.79,0.21,0,0,9,1.61273687546555,5,10464,0.552018408660169,"banana/importedfruits"
"494","C0580",0.31,0,0.08,0.05,0.2,0,0.16,0,0.08,0.08,0.04,0.82,90513,24,0,0.85,0.15,0.17,0,0.36,0.17,0,0.15,0.15,14,1.06291585856564,18,5028.5,0.715572668571626,"fermentedmilk"
"495","C0581",0.11,0.05,0.33,0.15,0.01,0,0.17,0.02,0.02,0.04,0.11,0.91,124540,27,0,0,1,0.15,0.01,0.01,0.37,0.13,0.07,0.26,20,1.08388011990373,12,10378.3333333333,0.734700890329144,"bottledfoods"
"496","C0582",0,0,0,0,0.27,0,0,0,0.65,0,0.09,0.27,18580,3,0,1,0,0,0,0,0,0.09,0,0.91,3,2.21554517791686,2,9290,1.17216839938351,"cookingoil"
"497","C0583",0,0,0,0.14,0,0,0,0.19,0.22,0,0.45,0.36,27710,6,0,1,0,0,0,0.34,0,0.3,0,0.36,5,1.60640147792466,4,6927.5,0.347836684413583,"beans"
"498","C0585",0,0,0,0,0,0,0,0,0,1,0,0.09,2800,1,1,0,0,0,0,1,0,0,0,0,1,3.3166247903554,1,2800,0,"ready-madesnacks"
"499","C0586",0.15,0.03,0.27,0.03,0,0,0.14,0.05,0.24,0.01,0.1,0.82,123485,35,0.04,0.88,0.08,0.18,0.14,0.23,0.18,0.13,0,0.13,23,1.04940738856776,21,5880.2380952381,0.870938064840139,"fermentedmilk"
"500","C0587",0.01,0.19,0.19,0.02,0.12,0,0.17,0.03,0.03,0.22,0.03,0.91,157007,62,0,0.38,0.62,0.11,0.05,0.15,0.19,0.33,0.1,0.07,28,0.9503583582348,37,4243.43243243243,0.95871315207015,"cooky/cakes"
"501","C0588",0.14,0.07,0.04,0.32,0.05,0,0.22,0.01,0.08,0.01,0.05,0.91,292974,53,0.14,0.78,0.07,0.3,0.12,0.05,0.08,0.15,0.06,0.23,28,1.09609478980532,25,11718.96,0.682587655198538,"banana/importedfruits"
"502","C0589",0.23,0.01,0.11,0.02,0.27,0,0.06,0.02,0.14,0.13,0.01,0.91,325862,63,0.04,0.76,0.2,0.08,0.15,0.09,0.5,0.14,0,0.03,31,1.03181237163431,24,13577.5833333333,1.04691062144701,"milk"
"503","C0590",0.37,0.22,0,0.13,0,0,0.14,0.05,0,0.08,0,0.55,36510,9,0,0.32,0.68,0,0.24,0.58,0.08,0,0,0.1,9,1.30379068415869,6,6085,0.786227406241401,"chilledlivestock"
"504","C0591",0,0.83,0,0,0.17,0,0,0,0,0,0,0.18,22890,2,0.17,0,0.83,0,0,0,0,0,0.17,0.83,2,2.74170747014781,2,11445,0.921184980995319,"coffee"
"505","C0592",0.13,0.19,0.07,0.07,0.07,0,0.07,0.01,0.06,0.33,0,0.82,248200,44,0.02,0.96,0.02,0,0.02,0.4,0.14,0.07,0.19,0.19,23,1.06642400984943,17,14600,0.770103105995401,"snacks"
"506","C0593",0.05,0.29,0.08,0.17,0.13,0.01,0.02,0.04,0.1,0,0.1,0.91,134650,29,0.31,0.48,0.21,0,0.25,0.13,0.23,0.29,0.11,0,18,0.940526063120848,12,11220.8333333333,0.698041592061807,"fruitvegetables"
"507","C0594",0,0,0.46,0.54,0,0,0,0,0,0,0,0.18,8680,3,1,0,0,0,0,0,1,0,0,0,3,2.23419505780706,1,8680,0,"fruitvegetables"
"508","C0595",0.18,0,0,0.57,0,0,0,0,0.25,0,0,0.27,23860,4,0.46,0,0.54,0,0,0,0.71,0.29,0,0,4,1.98448738725939,3,7953.33333333333,0.336327760721976,"driedfish"
"509","C0596",0,0,0,0,0.58,0,0,0,0,0,0.42,0.18,6880,2,0.42,0.58,0,0,0,0,0,0.42,0,0.58,2,2.25811476107887,2,3440,0.221998640605079,"beans"
"510","C0597",0,0,0.02,0.52,0.07,0,0,0,0.24,0,0.14,0.45,160652,19,0.19,0.4,0.41,0,0.06,0,0.06,0.2,0.23,0.46,13,1.78638604448091,11,14604.7272727273,0.719884373234111,"lattuce"
"511","C0598",0,0.45,0,0,0,0,0,0,0.55,0,0,0.18,7180,2,0,1,0,1,0,0,0,0,0,0,2,2.24084796130043,1,7180,0,"coffee"
"512","C0599",0.08,0,0.12,0,0.19,0,0.22,0.03,0,0.36,0,0.55,139330,16,0,0.8,0.2,0,0.8,0,0,0.2,0,0,12,1.31937405348528,5,27866,0.519246404289651,"chilledlivestock"
"513","C0600",0.01,0.09,0.12,0,0,0,0.76,0,0,0,0.02,0.45,84734,6,0.09,0.12,0.79,0.79,0,0,0,0.12,0.09,0,6,2.49421891866176,4,21183.5,1.43923234237957,"harddrinks"
"514","C0601",0.06,0,0.16,0.12,0.48,0,0.18,0,0,0,0,0.45,67841,14,0,0.75,0.25,0,0.12,0,0.78,0.04,0,0.06,11,1.60467281257042,8,8480.125,1.59602723988615,"ramen"
"515","C0603",0.17,0,0.4,0,0.12,0,0.17,0.08,0,0,0.05,0.55,29040,7,0,0.73,0.27,0,0,0.73,0,0.18,0,0.08,7,1.36795612085208,3,9680,1.04981095494256,"bottledfoods"
"516","C0604",0.82,0,0,0,0,0,0,0,0,0,0.18,0.18,5520,3,0,1,0,0.18,0,0,0,0.82,0,0,3,2.72216006684611,2,2760,0.901817344121974,"beans"
"517","C0605",0.1,0.22,0.13,0,0.55,0,0,0,0,0,0,0.36,49470,10,0.14,0.58,0.28,0.11,0.24,0.48,0,0,0.17,0,8,1.87019067236132,6,8245,0.971435567094056,"harddrinks"
"518","C0607",0,0.26,0.37,0,0,0,0,0,0,0.25,0.13,0.36,7800,5,0,1,0,0,0,0,0,0,0,1,5,1.51270566708794,1,7800,0,"eidbleherbs"
"519","C0608",0.04,0.01,0.45,0.22,0.04,0,0.06,0,0.03,0.09,0.06,0.82,221069,29,0.19,0.75,0.07,0.01,0.1,0.05,0.1,0.51,0.15,0.08,20,1.47724439473853,15,14737.9333333333,1.1866126692255,"bottledfoods"
"520","C0609",0.06,0,0.29,0.28,0.37,0,0,0,0,0,0,0.36,45995,5,0,0.37,0.63,0,0,0,0,0,1,0,5,1.60396996282451,4,11498.75,0.564285699981885,"apple/sweetmelon"
"521","C0610",0.06,0.2,0.04,0.18,0.04,0,0.03,0.05,0.15,0.05,0.19,0.91,224859,45,0.41,0.5,0.1,0.13,0,0.62,0.13,0.02,0,0.09,28,0.795773308213374,17,13227,0.718516248961104,"rootvegetables"
"522","C0611",1,0,0,0,0,0,0,0,0,0,0,0.09,1000,1,1,0,0,0,0,0,0,1,0,0,1,3.3166247903554,1,1000,0,"icecream"
"523","C0612",0.03,0,0.1,0.01,0.11,0,0.16,0,0.08,0.49,0.01,0.82,142390,30,0.55,0.45,0,0,0.32,0,0.06,0.39,0.23,0,23,1.57173606975023,13,10953.0769230769,1.04829388004662,"bakery"
"524","C0613",0,0.12,0.14,0.34,0,0,0.15,0.03,0.22,0,0,0.55,73944,14,0,0.34,0.66,0.26,0.4,0,0,0.18,0.16,0,12,1.26426125514341,6,12324,0.677069203219563,"otherbeverages"
"525","C0615",0,0.03,0.07,0.19,0.26,0,0,0,0,0.33,0.11,0.55,30278,8,0.06,0.46,0.49,0,0.33,0.13,0,0.18,0.36,0,7,1.31691000757406,7,4325.42857142857,0.68698838487519,"beans"
"526","C0617",0.07,0,0.04,0,0,0,0.1,0,0.06,0.73,0,0.45,70130,9,0.8,0.2,0,0.76,0.03,0.02,0,0.13,0.07,0,8,2.37847158613216,6,11688.3333333333,1.34712936696226,"chilledseafood"
"527","C0618",0.73,0,0,0.08,0,0,0.19,0,0,0,0,0.27,51980,4,0,0.63,0.37,1,0,0,0,0,0,0,4,2.42536209247736,2,25990,0.381440441409596,"banana/importedfruits"
"528","C0619",0,1,0,0,0,0,0,0,0,0,0,0.09,7820,1,0,1,0,0,0,1,0,0,0,0,1,3.3166247903554,1,7820,0,"softdrinks"
"529","C0620",0.09,0,0.13,0,0.37,0,0.41,0,0,0,0,0.36,28492,6,0,0.59,0.41,0,0,0,0.18,0.41,0,0.41,6,1.70081088996731,3,9497.33333333333,0.411026954094965,"bottledfoods"
"530","C0621",0.08,0,0,0,0,0,0.08,0.35,0.06,0.38,0.06,0.55,50140,9,0,1,0,0,0,0,0.1,0.06,0,0.85,8,1.52414439773292,6,8356.66666666667,1.19795270070218,"minorcereals"
"531","C0623",0.17,0.06,0.08,0.31,0.01,0.01,0.02,0.15,0,0.05,0.14,0.91,296084,42,0,0.62,0.38,0.09,0.25,0.42,0.04,0.03,0,0.17,20,1.05440382962207,20,14804.2,1.12530789582132,"eggs"
"532","C0624",0,0,0,0,1,0,0,0,0,0,0,0.09,2980,1,0,1,0,0,0,0,1,0,0,0,1,3.3166247903554,1,2980,0,"chilledagriculturalproducts"
"533","C0625",0.04,0.14,0,0.39,0,0,0.16,0.03,0.1,0.13,0.01,0.73,153939,14,0,0.5,0.5,0.36,0.02,0.14,0,0.37,0.11,0,14,1.27339491707909,9,17104.3333333333,0.859817603704033,"apple/sweetmelon"
"534","C0627",0.76,0,0,0,0,0,0,0,0,0,0.24,0.18,3404,2,0,1,0,0.76,0,0,0,0,0,0.24,2,2.57569052305558,2,1702,0.746159682145146,"eidbleherbs"
"535","C0628",0,0.24,0,0,0,0,0.76,0,0,0,0,0.18,4200,2,0,0,1,0,0,0,1,0,0,0,2,2.57098761651297,1,4200,0,"koreanconfectionary"
"536","C0629",0.83,0,0,0,0.12,0,0,0,0,0,0.05,0.27,25100,8,0,0.95,0.05,0.71,0,0,0.24,0,0.05,0,4,2.72561091752513,6,4183.33333333333,0.461865002621263,"fermentedmilk"
"537","C0631",0,0,0.37,0.42,0,0,0,0,0,0,0.21,0.27,7090,3,0,1,0,0,0,0,0,0,0,1,3,1.79518299324258,1,7090,0,"beans"
"538","C0632",0,0,0,0,0.43,0,0,0,0.57,0,0,0.18,8730,2,0,1,0,0,1,0,0,0,0,0,2,2.25168789337548,1,8730,0,"hairproducts"
"539","C0633",0.04,0.79,0,0.04,0,0,0,0,0,0.02,0.11,0.45,80020,6,0,1,0,0.04,0.02,0.71,0.23,0,0,0,5,2.57723269323211,4,20005,1.28525692790915,"harddrinks"
