"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"977","C1151",0,0,0,0,0.42,0,0.58,0,0,0,0,0.18,12141,2,0,0.58,0.42,0,0,0,0,1,0,0,2,2.25934312196707,2,6070.5,0.226092457340102,"cookingoil"
"978","C1152",0.53,0,0.15,0.07,0,0,0,0,0,0.08,0.17,0.45,42931,14,0,0.47,0.53,0.15,0.37,0.16,0.09,0.23,0,0,8,1.75977494118247,11,3902.81818181818,0.297380928830432,"eggs"
"979","C1153",0,0,0,0.08,0.73,0,0,0,0,0,0.19,0.36,16458,4,0,1,0,0,0,1,0,0,0,0,4,2.41526880755048,1,16458,0,"cookingoil"
"980","C1154",0,0,0.46,0.54,0,0,0,0,0,0,0,0.18,40600,3,0,0.19,0.81,0.81,0,0,0,0,0.19,0,3,2.23328995495605,2,20300,0.877787728369507,"bottledfoods"
"981","C1155",0,0.06,0,0.47,0,0,0,0,0,0.35,0.12,0.36,16980,4,0,0,1,0,0,0,0,0,0.06,0.94,4,1.8047279952205,3,5660,0.785311343213518,"banana/importedfruits"
"982","C1157",0,0,0,0,1,0,0,0,0,0,0,0.09,13500,1,0,0,1,0,0,0,0,0,0,1,1,3.3166247903554,1,13500,0,"hairproducts"
"983","C1158",0.1,0.12,0.1,0,0.12,0,0.06,0.07,0.13,0.19,0.1,0.82,96549,29,0,1,0,0.06,0.08,0.08,0,0.78,0,0,16,0.621555287460068,17,5679.35294117647,1.01708040214354,"cooky/cakes"
"984","C1159",0,0,0,0,0,0,0,0,0,0.71,0.29,0.18,13990,2,0,1,0,0,0,0.71,0,0,0,0.29,2,2.46303189703863,2,6995,0.607535633299664,"beans"
"985","C1161",0,0,0,0.41,0,0,0,0.36,0,0,0.23,0.27,10860,3,0,1,0,0.36,0,0,0.64,0,0,0,3,1.77383905433671,2,5430,0.398480064536065,"artificialpowders"
"986","C1162",0.15,0,0,0.63,0,0.17,0,0,0,0,0.05,0.36,19120,5,0,0,1,0.17,0.31,0,0.52,0,0,0,5,2.07598990992444,3,6373.33333333333,0.530544355836454,"apple/sweetmelon"
"987","C1163",0.19,0.17,0.1,0.02,0.28,0,0.07,0,0,0.15,0.02,0.73,95100,24,0,0.22,0.78,0.16,0.14,0.04,0.22,0.34,0.09,0.01,14,1.04525818335731,12,7925,0.7438297291352,"softdrinks"
"988","C1164",0,0,0,0,0,0,0,0,1,0,0,0.09,2400,1,0,0,1,0,0,1,0,0,0,0,1,3.3166247903554,1,2400,0,"driedfish"
"989","C1165",0,0,0,1,0,0,0,0,0,0,0,0.09,14900,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,14900,0,"pear/kiwi/grape"
